player hand total,player hand texture,dealer face up,player choice,expected value
9,hard,10,hit,-5.57
9,hard,10,double,-12.44
9,hard,10,surrender,-13.46
8,hard,10,stand,-14.46
8,hard,10,hit,-7.73
8,hard,10,double,-19.11
8,hard,10,surrender,-13.45
7,hard,10,stand,-14.46
7,hard,10,hit,-9.15
7,hard,10,double,-24.34
7,hard,10,surrender,-13.44
6,hard,10,stand,-14.35
6,hard,10,hit,-9.6
6,hard,10,double,-26.13
6,hard,10,surrender,-13.48
5,hard,10,stand,-14.23
5,hard,10,hit,-8.99
5,hard,10,double,-26.73
5,hard,10,surrender,-13.46
4,hard,10,stand,-14.31
4,hard,10,hit,-8.73
4,hard,10,double,-26.79
4,hard,10,surrender,-13.45
20,hard,9,stand,18.98
20,hard,9,hit,-21.2
20,hard,9,double,-42.54
20,hard,9,surrender,-12.5
19,hard,9,stand,7.29
19,hard,9,hit,-18.03
19,hard,9,double,-35.43
19,hard,9,surrender,-12.5
18,hard,9,stand,-4.62
18,hard,9,hit,-15.27
18,hard,9,double,-30.46
18,hard,9,surrender,-12.5
17,hard,9,stand,-10.1
17,hard,9,hit,-13.75
17,hard,9,double,-27.58
17,hard,9,surrender,-12.5
16,hard,9,stand,-13.68
16,hard,9,hit,-12.83
16,hard,9,double,-24.56
16,hard,9,surrender,-12.5
15,hard,9,stand,-13.67
15,hard,9,hit,-11.84
15,hard,9,double,-23.75
15,hard,9,surrender,-12.5
14,hard,9,stand,-13.51
14,hard,9,hit,-10.9
14,hard,9,double,-21.89
14,hard,9,surrender,-12.5
13,hard,9,stand,-13.47
13,hard,9,hit,-9.51
13,hard,9,double,-19.99
13,hard,9,surrender,-12.5
12,hard,9,stand,-13.53
12,hard,9,hit,-8.71
12,hard,9,double,-18.79
12,hard,9,surrender,-12.5
11,hard,9,stand,-13.63
11,hard,9,hit,4.16
11,hard,9,double,5.26
11,hard,9,surrender,-12.5
10,hard,9,stand,-13.49
10,hard,9,hit,2.71
10,hard,9,double,3.87
10,hard,9,surrender,-12.5
20,soft,9,stand,18.92
20,soft,9,hit,2.78
20,soft,9,double,4.02
20,soft,9,surrender,-12.5
19,soft,9,stand,7.29
19,soft,9,hit,0.3
19,soft,9,double,-1.93
19,soft,9,surrender,-12.5
18,soft,9,stand,-4.47
18,soft,9,hit,-2.52
18,soft,9,double,-7.13
18,soft,9,surrender,-12.5
17,soft,9,stand,-10.6
17,soft,9,hit,-3.66
17,soft,9,double,-10.04
17,soft,9,surrender,-12.5
16,soft,9,stand,-13.75
16,soft,9,hit,-4.11
16,soft,9,double,-11.68
16,soft,9,surrender,-12.5
15,soft,9,stand,-13.44
15,soft,9,hit,-2.84
15,soft,9,double,-11.07
15,soft,9,surrender,-12.5
14,soft,9,stand,-13.42
14,soft,9,hit,-1.8
14,soft,9,double,-11.29
14,soft,9,surrender,-12.5
13,soft,9,stand,-13.75
13,soft,9,hit,-0.95
13,soft,9,double,-10.7
13,soft,9,surrender,-12.5
12,soft,9,stand,-13.38
12,soft,9,hit,-0.22
12,soft,9,double,-11.27
12,soft,9,surrender,-12.5
9,hard,9,stand,-13.44
9,hard,9,hit,-1.41
9,hard,9,double,-7.75
9,hard,9,surrender,-12.5
8,hard,9,stand,-13.54
8,hard,9,hit,-5.39
8,hard,9,double,-17.75
8,hard,9,surrender,-12.5
7,hard,9,stand,-13.82
7,hard,9,hit,-7.24
7,hard,9,double,-23.76
7,hard,9,surrender,-12.5
6,hard,9,stand,-13.47
6,hard,9,hit,-7.36
6,hard,9,double,-27.18
6,hard,9,surrender,-12.5
5,hard,9,stand,-13.4
5,hard,9,hit,-6.83
5,hard,9,double,-27.62
5,hard,9,surrender,-12.5
4,hard,9,stand,-13.59
4,hard,9,hit,-6.0
4,hard,9,double,-27.43
4,hard,9,surrender,-12.5
20,hard,8,stand,19.71
20,hard,8,hit,-21.32
20,hard,8,double,-42.8
20,hard,8,surrender,-12.5
19,hard,8,stand,14.95
19,hard,8,hit,-17.66
19,hard,8,double,-35.52
19,hard,8,surrender,-12.5
18,hard,8,stand,2.57
18,hard,8,hit,-14.46
18,hard,8,double,-29.91
18,hard,8,surrender,-12.5
17,hard,8,stand,-9.44
17,hard,8,hit,-12.62
17,hard,8,double,-24.07
17,hard,8,surrender,-12.5
16,hard,8,stand,-12.95
16,hard,8,hit,-11.33
16,hard,8,double,-22.82
16,hard,8,surrender,-12.5
15,hard,8,stand,-12.71
15,hard,8,hit,-10.34
15,hard,8,double,-21.28
15,hard,8,surrender,-12.5
14,hard,8,stand,-12.48
14,hard,8,hit,-9.35
14,hard,8,double,-18.89
14,hard,8,surrender,-12.5
13,hard,8,stand,-12.8
13,hard,8,hit,-8.27
13,hard,8,double,-17.41
13,hard,8,surrender,-12.5
12,hard,8,stand,-12.64
12,hard,8,hit,-6.87
12,hard,8,double,-15.49
12,hard,8,surrender,-12.5
11,hard,8,stand,-12.78
11,hard,8,hit,5.66
11,hard,8,double,8.55
11,hard,8,surrender,-12.5
10,hard,8,stand,-12.69
10,hard,8,hit,5.08
10,hard,8,double,7.49
10,hard,8,surrender,-12.5
20,soft,8,stand,19.81
20,soft,8,hit,4.82
20,soft,8,double,7.42
20,soft,8,surrender,-12.5
19,soft,8,stand,14.9
19,soft,8,hit,3.69
19,soft,8,double,4.94
19,soft,8,surrender,-12.5
18,soft,8,stand,2.58
18,soft,8,hit,1.0
18,soft,8,double,-0.62
18,soft,8,surrender,-12.5
17,soft,8,stand,-9.25
17,soft,8,hit,-2.03
17,soft,8,double,-6.25
17,soft,8,surrender,-12.5
16,soft,8,stand,-12.5
16,soft,8,hit,-1.76
16,soft,8,double,-7.79
16,soft,8,surrender,-12.5
15,soft,8,stand,-12.66
15,soft,8,hit,-0.6
15,soft,8,double,-8.12
15,soft,8,surrender,-12.5
14,soft,8,stand,-12.42
14,soft,8,hit,0.35
14,soft,8,double,-7.25
14,soft,8,surrender,-12.5
13,soft,8,stand,-12.5
13,soft,8,hit,1.53
13,soft,8,double,-8.0
13,soft,8,surrender,-12.5
12,soft,8,stand,-13.05
12,soft,8,hit,2.3
12,soft,8,double,-7.29
12,soft,8,surrender,-12.5
9,hard,8,stand,-12.87
9,hard,8,hit,2.51
9,hard,8,double,-0.8
9,hard,8,surrender,-12.5
8,hard,8,stand,-12.65
8,hard,8,hit,-1.44
8,hard,8,double,-11.02
8,hard,8,surrender,-12.5
7,hard,8,stand,-13.04
7,hard,8,hit,-4.77
7,hard,8,double,-21.5
7,hard,8,surrender,-12.5
6,hard,8,stand,-12.85
6,hard,8,hit,-5.71
6,hard,8,double,-24.53
6,hard,8,surrender,-12.5
5,hard,8,stand,-12.54
5,hard,8,hit,-4.84
5,hard,8,double,-25.06
5,hard,8,surrender,-12.5
4,hard,8,stand,-12.89
4,hard,8,hit,-3.45
4,hard,8,double,-25.87
4,hard,8,surrender,-12.5
20,hard,7,stand,19.24
20,hard,7,hit,-21.35
20,hard,7,double,-42.47
20,hard,7,surrender,-12.5
19,hard,7,stand,15.36
19,hard,7,hit,-18.07
19,hard,7,double,-35.61
19,hard,7,surrender,-12.5
18,hard,7,stand,10.08
18,hard,7,hit,-14.53
18,hard,7,double,-29.11
18,hard,7,surrender,-12.5
17,hard,7,stand,-2.51
17,hard,7,hit,-11.69
17,hard,7,double,-23.99
17,hard,7,surrender,-12.5
16,hard,7,stand,-11.63
16,hard,7,hit,-10.26
16,hard,7,double,-20.43
16,hard,7,surrender,-12.5
15,hard,7,stand,-11.93
15,hard,7,hit,-9.16
15,hard,7,double,-18.56
15,hard,7,surrender,-12.5
14,hard,7,stand,-12.13
14,hard,7,hit,-8.27
14,hard,7,double,-17.72
14,hard,7,surrender,-12.5
13,hard,7,stand,-11.99
13,hard,7,hit,-7.02
13,hard,7,double,-14.17
13,hard,7,surrender,-12.5
12,hard,7,stand,-11.78
12,hard,7,hit,-5.46
12,hard,7,double,-13.03
12,hard,7,surrender,-12.5
11,hard,7,stand,-11.83
11,hard,7,hit,7.22
11,hard,7,double,11.76
11,hard,7,surrender,-12.5
10,hard,7,stand,-11.88
10,hard,7,hit,6.39
10,hard,7,double,10.33
10,hard,7,surrender,-12.5
20,soft,7,stand,19.41
20,soft,7,hit,6.52
20,soft,7,double,9.71
20,soft,7,surrender,-12.5
19,soft,7,stand,15.39
19,soft,7,hit,5.64
19,soft,7,double,8.78
19,soft,7,surrender,-12.5
18,soft,7,stand,9.96
18,soft,7,hit,4.28
18,soft,7,double,4.53
18,soft,7,surrender,-12.5
17,soft,7,stand,-2.39
17,soft,7,hit,1.38
17,soft,7,double,-0.23
17,soft,7,surrender,-12.5
16,soft,7,stand,-11.71
16,soft,7,hit,-0.18
16,soft,7,double,-5.26
16,soft,7,surrender,-12.5
15,soft,7,stand,-11.75
15,soft,7,hit,1.0
15,soft,7,double,-4.86
15,soft,7,surrender,-12.5
14,soft,7,stand,-11.81
14,soft,7,hit,1.9
14,soft,7,double,-5.23
14,soft,7,surrender,-12.5
13,soft,7,stand,-11.82
13,soft,7,hit,2.93
13,soft,7,double,-4.53
13,soft,7,surrender,-12.5
12,soft,7,stand,-11.79
12,soft,7,hit,3.98
12,soft,7,double,-4.96
12,soft,7,surrender,-12.5
9,hard,7,stand,-11.89
9,hard,7,hit,4.6
9,hard,7,double,2.78
9,hard,7,surrender,-12.5
8,hard,7,stand,-11.65
8,hard,7,hit,2.33
8,hard,7,double,-4.52
8,hard,7,surrender,-12.5
7,hard,7,stand,-11.89
7,hard,7,hit,-1.58
7,hard,7,double,-14.37
7,hard,7,surrender,-12.5
6,hard,7,stand,-11.96
6,hard,7,hit,-3.86
6,hard,7,double,-22.62
6,hard,7,surrender,-12.5
5,hard,7,stand,-11.97
5,hard,7,hit,-2.94
5,hard,7,double,-23.46
5,hard,7,surrender,-12.5
4,hard,7,stand,-11.61
4,hard,7,hit,-2.64
4,hard,7,double,-23.6
4,hard,7,surrender,-12.5
20,hard,6,stand,16.97
20,hard,6,hit,-21.37
20,hard,6,double,-42.35
20,hard,6,surrender,-12.5
19,hard,6,stand,11.35
19,hard,6,hit,-18.06
19,hard,6,double,-35.97
19,hard,6,surrender,-12.5
18,hard,6,stand,5.57
18,hard,6,hit,-15.13
18,hard,6,double,-30.8
18,hard,6,surrender,-12.5
17,hard,6,stand,-0.27
17,hard,6,hit,-12.69
17,hard,6,double,-25.33
17,hard,6,surrender,-12.5
16,hard,6,stand,-3.03
16,hard,6,hit,-11.2
16,hard,6,double,-21.69
16,hard,6,surrender,-12.5
15,hard,6,stand,-3.24
15,hard,6,hit,-9.65
15,hard,6,double,-18.93
15,hard,6,surrender,-12.5
14,hard,6,stand,-3.03
14,hard,6,hit,-7.66
14,hard,6,double,-15.96
14,hard,6,surrender,-12.5
13,hard,6,stand,-3.21
13,hard,6,hit,-5.89
13,hard,6,double,-11.82
13,hard,6,surrender,-12.5
12,hard,6,stand,-2.77
12,hard,6,hit,-4.31
12,hard,6,double,-8.93
12,hard,6,surrender,-12.5
11,hard,6,stand,-3.37
11,hard,6,hit,8.27
11,hard,6,double,17.05
11,hard,6,surrender,-12.5
10,hard,6,stand,-3.3
10,hard,6,hit,7.28
10,hard,6,double,13.49
10,hard,6,surrender,-12.5
20,soft,6,stand,17.02
20,soft,6,hit,7.24
20,soft,6,double,13.94
20,soft,6,surrender,-12.5
19,soft,6,stand,11.45
19,soft,6,hit,5.61
19,soft,6,double,11.57
19,soft,6,surrender,-12.5
18,soft,6,stand,5.51
18,soft,6,hit,4.45
18,soft,6,double,8.83
18,soft,6,surrender,-12.5
17,soft,6,stand,-0.14
17,soft,6,hit,3.08
17,soft,6,double,5.89
17,soft,6,surrender,-12.5
16,soft,6,stand,-2.98
16,soft,6,hit,2.95
16,soft,6,double,4.91
16,soft,6,surrender,-12.5
15,soft,6,stand,-2.96
15,soft,6,hit,3.19
15,soft,6,double,5.25
15,soft,6,surrender,-12.5
14,soft,6,stand,-2.87
14,soft,6,hit,3.44
14,soft,6,double,5.29
14,soft,6,surrender,-12.5
13,soft,6,stand,-3.21
13,soft,6,hit,3.92
13,soft,6,double,4.71
13,soft,6,surrender,-12.5
12,soft,6,stand,-2.92
12,soft,6,hit,4.29
12,soft,6,double,4.46
12,soft,6,surrender,-12.5
9,hard,6,stand,-2.87
9,hard,6,hit,4.63
9,hard,6,double,6.97
9,hard,6,surrender,-12.5
8,hard,6,stand,-2.84
8,hard,6,hit,2.75
8,hard,6,double,2.09
8,hard,6,surrender,-12.5
7,hard,6,stand,-3.13
7,hard,6,hit,0.91
7,hard,6,double,-2.72
7,hard,6,surrender,-12.5
6,hard,6,stand,-2.91
6,hard,6,hit,-0.02
6,hard,6,double,-5.44
6,hard,6,surrender,-12.5
5,hard,6,stand,-2.83
5,hard,6,hit,0.28
5,hard,6,double,-6.01
5,hard,6,surrender,-12.5
4,hard,6,stand,-2.8
4,hard,6,hit,0.16
4,hard,6,double,-5.97
4,hard,6,surrender,-12.5
20,hard,5,stand,16.78
20,hard,5,hit,-21.34
20,hard,5,double,-42.56
20,hard,5,surrender,-12.5
19,hard,5,stand,10.78
19,hard,5,hit,-18.19
19,hard,5,double,-36.2
19,hard,5,surrender,-12.5
18,hard,5,stand,4.82
18,hard,5,hit,-15.42
18,hard,5,double,-30.74
18,hard,5,surrender,-12.5
17,hard,5,stand,-1.24
17,hard,5,hit,-12.8
17,hard,5,double,-25.78
17,hard,5,surrender,-12.5
16,hard,5,stand,-4.44
16,hard,5,hit,-11.12
16,hard,5,double,-22.66
16,hard,5,surrender,-12.5
15,hard,5,stand,-4.25
15,hard,5,hit,-9.72
15,hard,5,double,-19.18
15,hard,5,surrender,-12.5
14,hard,5,stand,-4.16
14,hard,5,hit,-8.02
14,hard,5,double,-16.18
14,hard,5,surrender,-12.5
13,hard,5,stand,-3.74
13,hard,5,hit,-6.61
13,hard,5,double,-13.47
13,hard,5,surrender,-12.5
12,hard,5,stand,-4.04
12,hard,5,hit,-4.63
12,hard,5,double,-10.05
12,hard,5,surrender,-12.5
11,hard,5,stand,-3.94
11,hard,5,hit,7.97
11,hard,5,double,14.76
11,hard,5,surrender,-12.5
10,hard,5,stand,-4.18
10,hard,5,hit,6.48
10,hard,5,double,13.06
10,hard,5,surrender,-12.5
20,soft,5,stand,16.57
20,soft,5,hit,6.44
20,soft,5,double,12.59
20,soft,5,surrender,-12.5
19,soft,5,stand,10.79
19,soft,5,hit,5.27
19,soft,5,double,10.31
19,soft,5,surrender,-12.5
18,soft,5,stand,5.02
18,soft,5,hit,3.86
18,soft,5,double,7.41
18,soft,5,surrender,-12.5
17,soft,5,stand,-1.18
17,soft,5,hit,2.3
17,soft,5,double,4.82
17,soft,5,surrender,-12.5
16,soft,5,stand,-3.97
16,soft,5,hit,2.08
16,soft,5,double,3.48
16,soft,5,surrender,-12.5
15,soft,5,stand,-3.96
15,soft,5,hit,2.29
15,soft,5,double,3.09
15,soft,5,surrender,-12.5
14,soft,5,stand,-3.74
14,soft,5,hit,2.88
14,soft,5,double,3.3
14,soft,5,surrender,-12.5
13,soft,5,stand,-3.97
13,soft,5,hit,3.4
13,soft,5,double,3.42
13,soft,5,surrender,-12.5
12,soft,5,stand,-3.88
12,soft,5,hit,4.0
12,soft,5,double,2.94
12,soft,5,surrender,-12.5
9,hard,5,stand,-3.88
9,hard,5,hit,4.06
9,hard,5,double,6.27
9,hard,5,surrender,-12.5
8,hard,5,stand,-3.81
8,hard,5,hit,2.08
8,hard,5,double,0.63
8,hard,5,surrender,-12.5
7,hard,5,stand,-3.83
7,hard,5,hit,0.07
7,hard,5,double,-4.46
7,hard,5,surrender,-12.5
6,hard,5,stand,-4.01
6,hard,5,hit,-1.0
6,hard,5,double,-7.66
6,hard,5,surrender,-12.5
5,hard,5,stand,-4.08
5,hard,5,hit,-0.67
5,hard,5,double,-8.01
5,hard,5,surrender,-12.5
4,hard,5,stand,-4.21
4,hard,5,hit,-0.77
4,hard,5,double,-7.48
4,hard,5,surrender,-12.5
20,hard,4,stand,16.39
20,hard,4,hit,-21.37
20,hard,4,double,-42.44
20,hard,4,surrender,-12.5
19,hard,4,stand,10.44
19,hard,4,hit,-18.25
19,hard,4,double,-36.38
19,hard,4,surrender,-12.5
18,hard,4,stand,3.92
18,hard,4,hit,-15.18
18,hard,4,double,-30.61
18,hard,4,surrender,-12.5
17,hard,4,stand,-2.14
17,hard,4,hit,-13.22
17,hard,4,double,-26.62
17,hard,4,surrender,-12.5
16,hard,4,stand,-5.5
16,hard,4,hit,-11.49
16,hard,4,double,-23.16
16,hard,4,surrender,-12.5
15,hard,4,stand,-5.01
15,hard,4,hit,-9.88
15,hard,4,double,-19.98
15,hard,4,surrender,-12.5
14,hard,4,stand,-5.41
14,hard,4,hit,-8.15
14,hard,4,double,-16.45
14,hard,4,surrender,-12.5
13,hard,4,stand,-5.12
13,hard,4,hit,-7.22
13,hard,4,double,-13.48
13,hard,4,surrender,-12.5
12,hard,4,stand,-4.72
12,hard,4,hit,-5.18
12,hard,4,double,-10.84
12,hard,4,surrender,-12.5
11,hard,4,stand,-5.14
11,hard,4,hit,7.13
11,hard,4,double,14.76
11,hard,4,surrender,-12.5
10,hard,4,stand,-5.08
10,hard,4,hit,5.96
10,hard,4,double,11.25
10,hard,4,surrender,-12.5
20,soft,4,stand,16.33
