player hand total,player hand texture,dealer face up,player choice,expected value
9,hard,10,hit,-5.36
9,hard,10,double,-12.82
9,hard,10,surrender,-13.46
8,hard,10,stand,-14.42
8,hard,10,hit,-7.68
8,hard,10,double,-18.93
8,hard,10,surrender,-13.48
7,hard,10,stand,-14.46
7,hard,10,hit,-9.19
7,hard,10,double,-24.15
7,hard,10,surrender,-13.45
6,hard,10,stand,-14.43
6,hard,10,hit,-9.7
6,hard,10,double,-26.31
6,hard,10,surrender,-13.48
5,hard,10,stand,-14.26
5,hard,10,hit,-9.06
5,hard,10,double,-26.93
5,hard,10,surrender,-13.48
4,hard,10,stand,-14.18
4,hard,10,hit,-8.57
4,hard,10,double,-26.95
4,hard,10,surrender,-13.45
20,hard,9,stand,18.92
20,hard,9,hit,-21.18
20,hard,9,double,-42.42
20,hard,9,surrender,-12.5
19,hard,9,stand,7.11
19,hard,9,hit,-17.92
19,hard,9,double,-35.36
19,hard,9,surrender,-12.5
18,hard,9,stand,-4.55
18,hard,9,hit,-15.24
18,hard,9,double,-30.86
18,hard,9,surrender,-12.5
17,hard,9,stand,-10.48
17,hard,9,hit,-13.8
17,hard,9,double,-27.59
17,hard,9,surrender,-12.5
16,hard,9,stand,-13.56
16,hard,9,hit,-12.47
16,hard,9,double,-25.26
16,hard,9,surrender,-12.5
15,hard,9,stand,-13.45
15,hard,9,hit,-11.84
15,hard,9,double,-23.92
15,hard,9,surrender,-12.5
14,hard,9,stand,-13.58
14,hard,9,hit,-10.8
14,hard,9,double,-21.97
14,hard,9,surrender,-12.5
13,hard,9,stand,-13.56
13,hard,9,hit,-9.63
13,hard,9,double,-20.34
13,hard,9,surrender,-12.5
12,hard,9,stand,-13.61
12,hard,9,hit,-8.53
12,hard,9,double,-18.49
12,hard,9,surrender,-12.5
11,hard,9,stand,-13.56
11,hard,9,hit,4.07
11,hard,9,double,5.8
11,hard,9,surrender,-12.5
10,hard,9,stand,-13.39
10,hard,9,hit,2.87
10,hard,9,double,3.61
10,hard,9,surrender,-12.5
20,soft,9,stand,18.86
20,soft,9,hit,2.73
20,soft,9,double,3.48
20,soft,9,surrender,-12.5
19,soft,9,stand,7.32
19,soft,9,hit,0.24
19,soft,9,double,-1.71
19,soft,9,surrender,-12.5
18,soft,9,stand,-4.38
18,soft,9,hit,-2.48
18,soft,9,double,-7.23
18,soft,9,surrender,-12.5
17,soft,9,stand,-10.5
17,soft,9,hit,-3.72
17,soft,9,double,-9.92
17,soft,9,surrender,-12.5
16,soft,9,stand,-13.5
16,soft,9,hit,-3.96
16,soft,9,double,-11.38
16,soft,9,surrender,-12.5
15,soft,9,stand,-13.39
15,soft,9,hit,-2.73
15,soft,9,double,-11.32
15,soft,9,surrender,-12.5
14,soft,9,stand,-13.43
14,soft,9,hit,-1.79
14,soft,9,double,-11.13
14,soft,9,surrender,-12.5
13,soft,9,stand,-13.48
13,soft,9,hit,-0.84
13,soft,9,double,-10.91
13,soft,9,surrender,-12.5
12,soft,9,stand,-13.59
12,soft,9,hit,-0.02
12,soft,9,double,-10.98
12,soft,9,surrender,-12.5
9,hard,9,stand,-13.68
9,hard,9,hit,-1.21
9,hard,9,double,-7.47
9,hard,9,surrender,-12.5
8,hard,9,stand,-13.68
8,hard,9,hit,-5.15
8,hard,9,double,-18.19
8,hard,9,surrender,-12.5
7,hard,9,stand,-13.47
7,hard,9,hit,-7.23
7,hard,9,double,-23.91
7,hard,9,surrender,-12.5
6,hard,9,stand,-13.49
6,hard,9,hit,-7.32
6,hard,9,double,-26.69
6,hard,9,surrender,-12.5
5,hard,9,stand,-13.32
5,hard,9,hit,-6.47
5,hard,9,double,-26.76
5,hard,9,surrender,-12.5
4,hard,9,stand,-13.38
4,hard,9,hit,-5.99
4,hard,9,double,-26.88
4,hard,9,surrender,-12.5
20,hard,8,stand,19.8
20,hard,8,hit,-21.34
20,hard,8,double,-42.65
20,hard,8,surrender,-12.5
19,hard,8,stand,14.86
19,hard,8,hit,-17.71
19,hard,8,double,-35.66
19,hard,8,surrender,-12.5
18,hard,8,stand,2.55
18,hard,8,hit,-14.61
18,hard,8,double,-29.27
18,hard,8,surrender,-12.5
17,hard,8,stand,-9.49
17,hard,8,hit,-12.46
17,hard,8,double,-25.39
17,hard,8,surrender,-12.5
16,hard,8,stand,-12.8
16,hard,8,hit,-11.29
16,hard,8,double,-22.61
16,hard,8,surrender,-12.5
15,hard,8,stand,-12.7
15,hard,8,hit,-10.34
15,hard,8,double,-20.97
15,hard,8,surrender,-12.5
14,hard,8,stand,-12.74
14,hard,8,hit,-9.05
14,hard,8,double,-19.1
14,hard,8,surrender,-12.5
13,hard,8,stand,-12.74
13,hard,8,hit,-8.33
13,hard,8,double,-17.66
13,hard,8,surrender,-12.5
12,hard,8,stand,-12.75
12,hard,8,hit,-7.04
12,hard,8,double,-15.24
12,hard,8,surrender,-12.5
11,hard,8,stand,-12.56
11,hard,8,hit,5.86
11,hard,8,double,8.72
11,hard,8,surrender,-12.5
10,hard,8,stand,-12.79
10,hard,8,hit,4.97
10,hard,8,double,7.42
10,hard,8,surrender,-12.5
20,soft,8,stand,19.68
20,soft,8,hit,4.84
20,soft,8,double,7.03
20,soft,8,surrender,-12.5
19,soft,8,stand,14.94
19,soft,8,hit,3.8
19,soft,8,double,5.44
19,soft,8,surrender,-12.5
18,soft,8,stand,2.74
18,soft,8,hit,0.84
18,soft,8,double,-0.54
18,soft,8,surrender,-12.5
17,soft,8,stand,-9.58
17,soft,8,hit,-1.87
17,soft,8,double,-6.51
17,soft,8,surrender,-12.5
16,soft,8,stand,-12.81
16,soft,8,hit,-1.79
16,soft,8,double,-7.95
16,soft,8,surrender,-12.5
15,soft,8,stand,-12.64
15,soft,8,hit,-0.77
15,soft,8,double,-7.49
15,soft,8,surrender,-12.5
14,soft,8,stand,-12.75
14,soft,8,hit,0.22
14,soft,8,double,-7.78
14,soft,8,surrender,-12.5
13,soft,8,stand,-12.84
13,soft,8,hit,1.31
13,soft,8,double,-7.33
13,soft,8,surrender,-12.5
12,soft,8,stand,-12.78
12,soft,8,hit,2.44
12,soft,8,double,-7.76
12,soft,8,surrender,-12.5
9,hard,8,stand,-12.64
9,hard,8,hit,2.43
9,hard,8,double,-0.83
9,hard,8,surrender,-12.5
8,hard,8,stand,-12.74
8,hard,8,hit,-1.57
8,hard,8,double,-11.15
8,hard,8,surrender,-12.5
7,hard,8,stand,-12.71
7,hard,8,hit,-5.35
7,hard,8,double,-20.97
7,hard,8,surrender,-12.5
6,hard,8,stand,-12.74
6,hard,8,hit,-5.35
6,hard,8,double,-24.76
6,hard,8,surrender,-12.5
5,hard,8,stand,-12.73
5,hard,8,hit,-4.76
5,hard,8,double,-25.81
5,hard,8,surrender,-12.5
4,hard,8,stand,-12.73
4,hard,8,hit,-3.98
4,hard,8,double,-25.72
4,hard,8,surrender,-12.5
20,hard,7,stand,19.46
20,hard,7,hit,-21.25
20,hard,7,double,-42.76
20,hard,7,surrender,-12.5
19,hard,7,stand,15.42
19,hard,7,hit,-17.89
19,hard,7,double,-35.5
19,hard,7,surrender,-12.5
18,hard,7,stand,10.23
18,hard,7,hit,-14.65
18,hard,7,double,-29.48
18,hard,7,surrender,-12.5
17,hard,7,stand,-2.57
17,hard,7,hit,-11.85
17,hard,7,double,-23.78
17,hard,7,surrender,-12.5
16,hard,7,stand,-11.97
16,hard,7,hit,-10.13
16,hard,7,double,-20.31
16,hard,7,surrender,-12.5
15,hard,7,stand,-11.8
15,hard,7,hit,-9.03
15,hard,7,double,-18.83
15,hard,7,surrender,-12.5
14,hard,7,stand,-11.92
14,hard,7,hit,-8.12
14,hard,7,double,-16.6
14,hard,7,surrender,-12.5
13,hard,7,stand,-11.92
13,hard,7,hit,-6.8
13,hard,7,double,-14.67
13,hard,7,surrender,-12.5
12,hard,7,stand,-11.8
12,hard,7,hit,-5.51
12,hard,7,double,-13.12
